Borough code,Borough,Year/Month,Average House Price Â£
E09000001,City of London,Sep-22,"783,570"
E09000002,Barking and Dagenham,Sep-22,"350,039"
E09000003,Barnet,Sep-22,"603,690"
E09000004,Bexley,Sep-22,"405,298"
E09000005,Brent,Sep-22,"589,056"
E09000006,Bromley,Sep-22,"523,007"
E09000007,Camden,Sep-22,"837,137"
E09000008,Croydon,Sep-22,"434,295"
E09000009,Ealing,Sep-22,"534,909"
E09000010,Enfield,Sep-22,"457,055"
E09000011,Greenwich,Sep-22,"445,493"
E09000012,Hackney,Sep-22,"652,315"
E09000013,Hammersmith and Fulham,Sep-22,"797,857"
E09000014,Haringey,Sep-22,"620,516"
E09000015,Harrow,Sep-22,"545,407"
E09000016,Havering,Sep-22,"431,999"
E09000017,Hillingdon,Sep-22,"469,385"
E09000018,Hounslow,Sep-22,"458,023"
E09000019,Islington,Sep-22,"735,218"
E09000020,Kensington and Chelsea,Sep-22,"1,393,453"
E09000021,Kingston upon Thames,Sep-22,"574,926"
E09000022,Lambeth,Sep-22,"561,556"
E09000023,Lewisham,Sep-22,"471,809"
E09000024,Merton,Sep-22,"597,284"
E09000025,Newham,Sep-22,"421,436"
E09000026,Redbridge,Sep-22,"486,291"
E09000027,Richmond upon Thames,Sep-22,"780,053"
E09000028,Southwark,Sep-22,"564,992"
E09000029,Sutton,Sep-22,"442,885"
E09000030,Tower Hamlets,Sep-22,"486,564"
E09000031,Waltham Forest,Sep-22,"527,883"
E09000032,Wandsworth,Sep-22,"659,683"
E09000033,Westminster,Sep-22,"930,185"
