Year,All Dwellings,Private Enterprise,Housing Associations,Local Authorities
1949,205260,28460,3350,173450
1950,205430,30240,3340,171840
1951,201870,25490,3680,172690
1952,248330,36660,4100,207550
1953,326830,64870,9580,252380
1954,354120,92420,15750,245970
1955,324430,116100,6650,201680
1956,307680,126440,4760,176480
1957,307590,128790,3940,174870
1958,278640,130210,2830,145600
1959,281570,153170,2120,126270
1960,304250,171410,3220,129640
1961,303190,180730,3110,119350
1962,313650,178210,3360,132070
1963,307720,177780,3690,126240
1964,383200,221260,5110,156830
1965,391240,217160,6780,167300
1966,396010,208660,8200,179170
1967,415460,204210,8380,202860
1968,425830,226070,9100,190670
1969,378320,185920,10040,182380
1970,362220,174350,8590,179280
1971,364480,196300,10780,157380
1972,330930,200770,7810,122360
1973,304630,191090,9000,104570
1974,279630,145230,10270,124140
1975,321940,154530,14950,152470
1976,324770,155230,15790,153750
1977,314090,143920,25120,145070
1978,288620,152170,22790,113660
1979,251760,144050,18080,89630
1980,242000,131990,21480,88540
1981,206630,118600,19700,68330
1982,182840,129020,13740,40080
1983,209030,153040,16820,39170
1984,220410,165550,17290,37580
1985,207460,163400,13660,30410
1986,216180,177940,13160,25380
1987,225500,191190,13160,21150
1988,241780,207390,13490,20910
1989,221050,187490,14590,18950
1990,202510,166860,17940,17710
1991,191020,159150,20820,11060
1992,179100,146900,26500,5670
1993,185660,146380,35910,3360
1994,193000,153270,36860,2880
1995,199120,156930,38760,3440
1996,189040,154340,32950,1740
1997,191110,161230,28350,1550
1998,181020,155830,24090,1090
1999,181990,157930,23730,330
2000,176850,154580,22000,280
2001,174090,152650,21090,360
2002,181960,162780,18940,250
2003,190490,172620,17620,250
2004,203500,182700,20650,130
2005,205740,182190,23330,230
2006,208970,182710,25970,290
2007,223590,195880,27430,280
2008,187320,155100,31590,630
2009,157140,121510,34790,840
2010,135980,105240,29380,1350
2011,140720,105450,32190,3100
2012,141610,107700,31400,2510
2013,135590,106760,26750,2080
2014,145120,115090,27920,2110
2015,172010,134330,34990,2700
2016,171810,139270,29320,3220
2017,193690,158360,32140,3200
2018,199110,161600,33500,4010
2019,214160,172000,38350,3810
2020,169260,137510,29100,2630